id,category,categoryZh,difficulty,difficultyZh,title,unlockRequirement,diamondReward,wordCount,enabledFor
animals_easy,animals,動物,easy,簡單,動物・簡單,,1,11,jim|ethan|ai
animals_medium,animals,動物,medium,中等,動物・中等,animals_easy,1,11,jim|ethan|ai
animals_hard,animals,動物,hard,困難,動物・困難,animals_medium,1,10,jim|ethan|ai
auxiliaries_easy,auxiliaries,be/助動詞,easy,簡單,be/助動詞・簡單,,1,2,jim|ethan|ai
auxiliaries_medium,auxiliaries,be/助動詞,medium,中等,be/助動詞・中等,auxiliaries_easy,1,2,jim|ethan|ai
auxiliaries_hard,auxiliaries,be/助動詞,hard,困難,be/助動詞・困難,auxiliaries_medium,1,1,jim|ethan|ai
body_easy,body,身體部位,easy,簡單,身體部位・簡單,,1,5,jim|ethan|ai
body_medium,body,身體部位,medium,中等,身體部位・中等,body_easy,1,5,jim|ethan|ai
body_hard,body,身體部位,hard,困難,身體部位・困難,body_medium,1,5,jim|ethan|ai
clothes_easy,clothes,衣服/配件,easy,簡單,衣服/配件・簡單,,1,7,jim|ethan|ai
clothes_medium,clothes,衣服/配件,medium,中等,衣服/配件・中等,clothes_easy,1,6,jim|ethan|ai
clothes_hard,clothes,衣服/配件,hard,困難,衣服/配件・困難,clothes_medium,1,6,jim|ethan|ai
colors_easy,colors,顏色,easy,簡單,顏色・簡單,,1,4,jim|ethan|ai
colors_medium,colors,顏色,medium,中等,顏色・中等,colors_easy,1,4,jim|ethan|ai
colors_hard,colors,顏色,hard,困難,顏色・困難,colors_medium,1,4,jim|ethan|ai
conjunctions_easy,conjunctions,連接詞,easy,簡單,連接詞・簡單,,1,1,jim|ethan|ai
conjunctions_medium,conjunctions,連接詞,medium,中等,連接詞・中等,conjunctions_easy,1,1,jim|ethan|ai
conjunctions_hard,conjunctions,連接詞,hard,困難,連接詞・困難,conjunctions_medium,1,1,jim|ethan|ai
determiners_easy,determiners,冠詞/限定詞,easy,簡單,冠詞/限定詞・簡單,,1,5,jim|ethan|ai
determiners_medium,determiners,冠詞/限定詞,medium,中等,冠詞/限定詞・中等,determiners_easy,1,5,jim|ethan|ai
determiners_hard,determiners,冠詞/限定詞,hard,困難,冠詞/限定詞・困難,determiners_medium,1,5,jim|ethan|ai
family_easy,family,家庭,easy,簡單,家庭・簡單,,1,7,jim|ethan|ai
family_medium,family,家庭,medium,中等,家庭・中等,family_easy,1,7,jim|ethan|ai
family_hard,family,家庭,hard,困難,家庭・困難,family_medium,1,7,jim|ethan|ai
foods_easy,foods,食物/飲料,easy,簡單,食物/飲料・簡單,,1,18,jim|ethan|ai
foods_medium,foods,食物/飲料,medium,中等,食物/飲料・中等,foods_easy,1,17,jim|ethan|ai
foods_hard,foods,食物/飲料,hard,困難,食物/飲料・困難,foods_medium,1,17,jim|ethan|ai
geography_easy,geography,地理,easy,簡單,地理・簡單,,1,2,jim|ethan|ai
geography_medium,geography,地理,medium,中等,地理・中等,geography_easy,1,2,jim|ethan|ai
geography_hard,geography,地理,hard,困難,地理・困難,geography_medium,1,1,jim|ethan|ai
health_easy,health,健康,easy,簡單,健康・簡單,,1,3,jim|ethan|ai
health_medium,health,健康,medium,中等,健康・中等,health_easy,1,2,jim|ethan|ai
health_hard,health,健康,hard,困難,健康・困難,health_medium,1,2,jim|ethan|ai
hobbies_easy,hobbies,運動/興趣,easy,簡單,運動/興趣・簡單,,1,9,jim|ethan|ai
hobbies_medium,hobbies,運動/興趣,medium,中等,運動/興趣・中等,hobbies_easy,1,9,jim|ethan|ai
hobbies_hard,hobbies,運動/興趣,hard,困難,運動/興趣・困難,hobbies_medium,1,9,jim|ethan|ai
holidays_easy,holidays,節日,easy,簡單,節日・簡單,,1,2,jim|ethan|ai
holidays_medium,holidays,節日,medium,中等,節日・中等,holidays_easy,1,2,jim|ethan|ai
holidays_hard,holidays,節日,hard,困難,節日・困難,holidays_medium,1,1,jim|ethan|ai
