id,word,meaning,zhuyinText,zhuyinCharsJson,partOfSpeech,sourceCategory,appCategory,appCategoryZh,difficulty,level,stageId,sentence,emoji,enabledFor,spellingEnabledFor,source,notes
determiners_easy_a_001,a,一個,ㄧ ㄍㄜˋ,"[{""char"": ""一"", ""ruby"": ""ㄧ""}, {""char"": ""個"", ""ruby"": ""ㄍㄜˋ""}]",冠詞,冠詞/限定詞,determiners,冠詞/限定詞,easy,1,determiners_easy,"I know the word ""a"".",🔤,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
prepositions_medium_about_001,about,1. 大約；2. 關於...,ㄉㄚˋ ㄩㄝ ㄍㄨㄢ ㄩˊ,"[{""char"": ""大"", ""ruby"": ""ㄉㄚˋ""}, {""char"": ""約"", ""ruby"": ""ㄩㄝ""}, {""char"": ""關"", ""ruby"": ""ㄍㄨㄢ""}, {""char"": ""於"", ""ruby"": ""ㄩˊ""}]",介系詞,介系詞,prepositions,介系詞,medium,2,prepositions_medium,"I know the word ""about"".",↔️,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
jobs_easy_actor_001,actor,男演員,ㄋㄢˊ ㄧㄢˇ ㄩㄢˊ,"[{""char"": ""男"", ""ruby"": ""ㄋㄢˊ""}, {""char"": ""演"", ""ruby"": ""ㄧㄢˇ""}, {""char"": ""員"", ""ruby"": ""ㄩㄢˊ""}]",名詞,工作,jobs,工作,easy,1,jobs_easy,"I know the word ""actor"".",👩‍⚕️,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
jobs_hard_actress_001,actress,女演員,ㄋㄩˇ ㄧㄢˇ ㄩㄢˊ,"[{""char"": ""女"", ""ruby"": ""ㄋㄩˇ""}, {""char"": ""演"", ""ruby"": ""ㄧㄢˇ""}, {""char"": ""員"", ""ruby"": ""ㄩㄢˊ""}]",名詞,工作,jobs,工作,hard,3,jobs_hard,"I know the word ""actress"".",👩‍⚕️,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
prepositions_hard_after_001,after,在...之後,ㄗㄞˋ ㄓ ㄏㄡˋ,"[{""char"": ""在"", ""ruby"": ""ㄗㄞˋ""}, {""char"": ""之"", ""ruby"": ""ㄓ""}, {""char"": ""後"", ""ruby"": ""ㄏㄡˋ""}]",介系詞,介系詞,prepositions,介系詞,hard,3,prepositions_hard,"I know the word ""after"".",↔️,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
time_hard_afternoon_001,afternoon,下午,ㄒㄧㄚˋ ㄨˇ,"[{""char"": ""下"", ""ruby"": ""ㄒㄧㄚˋ""}, {""char"": ""午"", ""ruby"": ""ㄨˇ""}]",名詞,時間,time,時間,hard,3,time_hard,"I know the word ""afternoon"".",🕒,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
others_hard_again_001,again,再一次、又一次,ㄗㄞˋ ㄧ ㄘˋ ㄧㄡˋ ㄧ ㄘˋ,"[{""char"": ""再"", ""ruby"": ""ㄗㄞˋ""}, {""char"": ""一"", ""ruby"": ""ㄧ""}, {""char"": ""次"", ""ruby"": ""ㄘˋ""}, {""char"": ""又"", ""ruby"": ""ㄧㄡˋ""}, {""char"": ""一"", ""ruby"": ""ㄧ""}, {""char"": ""次"", ""ruby"": ""ㄘˋ""}]",副詞,其他副詞,others,其他,hard,3,others_hard,"I know the word ""again"".",⭐,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
transportation_hard_airplane_001,airplane,飛機 (= plane),ㄈㄟ ㄐㄧ,"[{""char"": ""飛"", ""ruby"": ""ㄈㄟ""}, {""char"": ""機"", ""ruby"": ""ㄐㄧ""}]",名詞,運輸,transportation,交通,hard,3,transportation_hard,"I know the word ""airplane"".",🚗,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
transportation_hard_airport_001,airport,機場,ㄐㄧ ㄔㄤˇ,"[{""char"": ""機"", ""ruby"": ""ㄐㄧ""}, {""char"": ""場"", ""ruby"": ""ㄔㄤˇ""}]",名詞,運輸,transportation,交通,hard,3,transportation_hard,"I know the word ""airport"".",🚗,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
numbers_easy_all_001,all,全部的,ㄑㄩㄢˊ ㄅㄨˋ ㄉㄜ,"[{""char"": ""全"", ""ruby"": ""ㄑㄩㄢˊ""}, {""char"": ""部"", ""ruby"": ""ㄅㄨˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",限定詞,數字,numbers,數字,easy,1,numbers_easy,"I know the word ""all"".",🔢,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
