priority,category,stageId,difficulty,word,meaning,currentEmoji,reason
"A make image first","adventure_animals","adventure_animals_hard","hard","animal","動物","🐾","Uses category fallback emoji, not a word-specific visual."
"A make image first","adventure_animals","adventure_animals_easy","easy","pet","寵物","🐾","Uses category fallback emoji, not a word-specific visual."
"A make image first","adventure_animals","adventure_animals_medium","medium","star","星星","⭐","Uses category fallback emoji, not a word-specific visual."
"A make image first","adventure_animals","adventure_animals_hard","hard","weather","天氣","🌤️","Uses category fallback emoji, not a word-specific visual."
"A make image first","colors_sizes","colors_sizes_easy","easy","color","顏色","🎨","Uses category fallback emoji, not a word-specific visual."
"A make image first","colors_sizes","colors_sizes_easy","easy","long","長的","📏","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_04","stage_04","dining room","(家裡的)餐廳","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_04","stage_04","dinner","晚餐","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_01","stage_01","dish","碟子、盤子","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_01","stage_01","eat","吃","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_01","stage_01","food","食物","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_01","stage_01","full","飽的","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_01","stage_01","home","家庭","🏠","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_02","stage_02","house","房子","🏠","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_04","stage_04","hungry","餓的","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_01","stage_01","meal","餐","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_03","stage_03","shelf","架子","📚","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_04","stage_04","strawberry","草莓","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_03","stage_03","sweep","掃","🏠","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_03","stage_03","sweet","甜的","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_03","stage_03","taste","嚐起來","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_04","stage_04","thirsty","口渴的","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_02","stage_02","wash","洗","🏠","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_04","stage_04","watermelon","西瓜","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","daily_food_home","daily_food_home_stage_03","stage_03","yummy","好吃的、美味的","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","afternoon","下午","🌤️","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","all","全部的","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","april","四月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","august","八月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","both","兩個都","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","clock","時鐘","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","december","十二月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","early","早到（的）","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","eighteen","十八","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","eighty","八十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","eleven","十一","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","february","二月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","fifteen","十五","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","fifty","五十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","first","第一","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","forty","四十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","fourteen","十四","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","free","免費的","💰","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","friday","星期五","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","hundred","一百","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","january","一月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","july","七月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","june","六月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","last","最後的","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","late","晚到（的）","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","many","許多(例如many flowers)","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","march","三月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","monday","星期一","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","money","錢","💰","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","month","月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","more","更多、較多","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","much","許多(例如much water)","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","nineteen","十九","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","ninety","九十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","november","十一月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_01","stage_01","now","現在","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","number","數字","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","o'clock","...點鐘","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","october","十月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","saturday","星期六","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","second","第二","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","september","九月","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","seventeen","十七","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","seventy","七十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","sixteen","十六","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","sixty","六十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","some","一些","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","sunday","星期日","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_03","stage_03","third","第三","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","thirteen","十三","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","thirty","三十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","thursday","星期四","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","time","時間","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","tuesday","星期二","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","twelve","十二","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","twenty","二十","🔢","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","wednesday","星期三","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_02","stage_02","year","年","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","numbers_time","numbers_time_stage_04","stage_04","yesterday","昨天","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_02","stage_02","cousin","堂兄（弟、姊、妹）","🧒","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_02","stage_02","driver","司機、駕駛員","🚗","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_02","stage_02","face","臉","🙂","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_02","stage_02","family","家庭、家人","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_04","stage_04","head","頭","🙂","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_01","stage_01","job","工作、職業","🧑‍💼","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_01","stage_01","kid","小孩","🧒","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_03","stage_03","mr.","先生","🔤","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_04","stage_04","mrs.","太太","🔤","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_02","stage_02","name","名字","🔤","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_03","stage_03","parent","父母親","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_03","stage_03","waiter","男服務生","🍽️","Uses category fallback emoji, not a word-specific visual."
